Datum;Beginn;Ende;Ort;ID;Format;Titel_Session;Chair;Titel_Beitrag;Autorin/Autor_1;Affilation_1;Land_1;Autorin/Autor_2;Affilation_2;Land_2;Autorin/Autor_3;Affilation_3;Land_3;Autorin/Autor_4;Affilation_4;Land_4;Autorin/Autor_5;Affilation_5;Land_5;Autorin/Autor_6;Affilation_6;Land_6;Autorin/Autor_7;Affilation_7;Land_7;Autorin/Autor_8;Affilation_8;Land_8;Autorin/Autor_9;Affilation_9;Land_9;Autorin/Autor_10;Affilation_10;Land_10;Zusammenfassung
25.03.2019;09:00;10:30;P6;Workshop_264;Workshop;;;Workshop Texterkennung mit Ocropy - Vom Bild zum Text;Robert Nasarek;Martin-Luther-Universität Halle-Wittenberg;Deutschland;Andreas Müller;Martin-Luther-Universität Halle-Wittenberg;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;!!!Workshopteilnehmer*innen müssen ein Notebook mit Administratorenrechten mitbringen!!!Die optische Zeichenerkennung (engl. Optical Character Recognition – OCR) von historischen Texten weißt oftmals niedrige Erkennungsraten auf. Mit einem gekonnten Preprozessing und ocropy (auch ocropus), einem modular aufgebauten Kommandozeilenprogramm auf Basis eines neuronalen Netzes, ist es möglich, deutlich bessere Ergebnisse zu erzielen. Ocropy ist in Python geschrieben und enthält u. a. Module zur Binarisierung (Erzeugung einer Rastergrafik), Segmentierung (Dokumentaufspaltung in Zeilen), der Korrektur fehlerhafter Erkennungstexte, dem Training neuer Zeichen und natürlich zur Erkennung von Dokumenten. Als kommondozeilenbasiertes Programm für die Linux-Console setzt ocropy die Einstiegshürde für viele interessierte Nutzer*innen erhöht an. Im Workshop werden diese Hürden abgebaut, indem er alle Schritte „from zero to recognised textfile“ nachvollziehbar und zum Mitmachen aufzeigt. Den Teilnehmer*innen des Workshops werden alle benötigten Informationen und Handgriffe zur Verfügung gestellt, um selbstständig Frakturschriften (oder andere Schriftarten) durch ocropy erkennen zu lassen.
25.03.2019;09:00;10:30;P7;Workshop_205;Workshop;;;Workshop Versionskontrolle mit Git;Stephan Druskat;Humboldt-Universität zu Berlin;Deutschland;Annika Rockenberger;Nasjonalbiblioteket;Norwegen;;;;;;;;;;;;;;;;;;;;;;;;;"In zwei jeweils halbtägigen Workshops erlernen Teilnehmende ohne oder mit wenigen Vorkenntnissen grundlegende Kulturtechniken der digitalen Forschung: Versionskontrolle und kollaboratives verteiltes Arbeiten. Der Teilworkshop ""Versionskontrolle mit Git"" führt auf Grundlage der Software Carpentry (https://software-carpentry.org/) in die Arbeit mit dem Versionskontrollsystem Git (https://git-scm.com/) ein. Dabei unterstützen geleitete Übungen und häufige formative Evaluationen die aktive Aneignung zentraler Konzepte und Prozesse wie Ã„nderungsverfolgung und -historie, Konflikte und deren Auflösung. Der Workshop befähigt Teilnehmende zur Arbeit mit Git auf der Kommandozeile. Der zweite Teilworkshop führt in die Arbeit mit GitHub (https://github.com/) ein und vermittelt die Grundlagen der verteilten Zusammenarbeit an Dokumenten über Methoden wie Issues und Pull Requests. Dabei wird ausschließlich auf die Weboberfläche der Codeplattform zurückgegriffen, so dass keine weiteren Vorkenntnisse notwendig sind. Die Teilworkshops erlauben in Kombination einen fundierten Einstieg in Versionskontrolle und vermitteln die konkrete Arbeit mit den derzeit am weitesten verbreiteten Instrumenten dafür, Git und GitHub, können aber auch einzeln besucht werden."
25.03.2019;09:00;10:30;P10;Workshop_210;Workshop;;;Workshop eXist-db und VueJS für dynamische UI-Komponenten;Oliver Pohl;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Teodora Dogaru;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Jonas Müller-Laackman;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;In dem Workshop sollen Teilnehmende lernen, wie man mit der XML-Datenbank eXist-db Daten nach JSON serialisiert und anhand der ausgelieferten JSON-Daten mit Hilfe von vue.js reaktive HTML-Komponenten erstellt. Als praktisches Beispiel für den Workshop werden die Daten und der Quellcode von quoteSalute zur Veranschaulichung benutzt. quoteSalute aggregiert Grußformeln aus verschiedenen digitalen Briefeditionen, bereitet diese auf, sodass NutzerInnen Briefabschlüsse von z.B. Alexander von Humboldt, Friedrich Schleiermacher oder Anna Gräfin von Lehndorff über einen Klick in ihre eigene E-Mail-Korrespondenz einfügen können. Die Daten dafür werden in einer eXist-db-Instanz als TEI-XML vorgehalten und die Benutzeroberfläche über Vue.js realisiert. Nach dem Workshop sollen die Teilnehmenden in der Lage sein einfache, reaktive Vue.js-Applikation zu programmieren und dessen Aufbau erklären zu können, diese Vue.js-Applikation an eine JSON-REST-Schnittstelle anzubinden, und das grundlegende Prinzip im Zusammenspiel von Backend - JSON-API - JavaScript-Frontend auch auf andere Technologien und Frameworks übertragen zu können.
25.03.2019;09:00;10:30;P11|P12;Workshop_111;Workshop;;;Workshop Barcamp: Digitales Publizieren zwischen Experiment und Etablierung;Timo Steyer;Forschungsverbund Marbach Weimar Wolfenbüttel/ Herzog August Bibliothek Wolfenbüttel;Deutschland;Katrin Neumann;Max Weber Stiftung;Deutschland;Melanie Seltmann;Universität Wien;Österreich;Walter Scholger;Universität Graz;Österreich;;;;;;;;;;;;;;;;;;;Das digitale Publizieren hat sich nicht zuletzt durch die Selbstverständlichkeit, mit der WissenschaftlerInnen digitale Ressourcen nutzen, und durch die Etablierung der Digital Humanities zu einem festen Bestandteil der Wissenschaftskommunikation entwickelt. Doch längst sind noch nicht alle Formen bzw. Formate geklärt und nicht für alle Bereiche existieren Standards. Für nicht wenige WissenschaftlerInnen stellt das digitale Publizieren nach wie vor eine terra incognita dar und die Bedenken, sich trotz der evidenten Vorteile von digitalen Publikationen von den traditionellen Printmedien zu lösen, bestehen nach wie vor. Die AG Digitales Publizieren möchte der interessierten Community die Möglichkeit bieten, gemeinsam aktuelle Fragen und Trends im Bereich des digitalen Publizieren zu diskutieren und sich offen auszutauschen. Um diesen Austausch zu fördern, soll der Workshop im Format eines Barcamps durchgeführt werden.
25.03.2019;09:00;10:30;P15;Workshop_235;Workshop;;;Workshop Text Mining mit Open Semantic (Desktop) Search - eine digitale Such- & Annotationsumgebung für informationsgetriebene Fragestellungen;Jörg Wettlaufer;Georg-August-Universität Göttingen;Deutschland;Stefan Ziehe;Georg-August-Universität Göttingen;Deutschland;Markus Mandalka;Berlin;Deutschland;;;;;;;;;;;;;;;;;;;;;;In den Geisteswissenschaften sind wir bei vielen Fragestellungen auf die Sammlung und das Zusammenstellen von (teilweise sehr großen) Informationsmengen angewiesen, aus denen relevante Details herausgefiltert und anschließend in neue Zusammenhänge gesetzt werden müssen. Dieser informationsgetriebene Ansatz geisteswissenschaftlichen Arbeitens ist nicht weit von den Aufgaben entfernt, die Journalisten heute für ihre Arbeit im digitalen Zeitalter lösen müssen. In diesem Kontext wurde „Open Semantic Desktop Search“ (OSDS) von Markus Mandalka (Berlin) entwickelt, ein Recherche Tool bzw. eine Enterprise Suchmaschine für die semantische und explorative Suche in großen Dokumentenmengen, das auch Textanalyse und Text Mining mit offenen Standards für Linked Open Data bietet: http://www.opensemanticsearch.org. Ziel des Workshops ist es die TeilnehmerInnen in die Lage zu versetzen, OSDS eigenständig für die Beantwortung wissenschaftlicher Fragestellungen, z.B. aus dem Bereich der digitalen Geschichtswissenschaften, zu verwenden und für ihre jeweiligen Bedürfnisse zu konfigurieren bzw. zu erweitern.
25.03.2019;09:00;10:30;Akademie der Wissenschaften und der Literatur | Mainz;Workshop_266;Workshop;;;Workshop Graphentechnologien in den Digital Humanities: Methoden und Instrumente zur Modellierung, Transfortmation, Annotation und Analyse;Julian Jarosch;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Andreas Kuczera;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Torsten Schrade;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Tariq Yousef;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;;;;;;;;;;;;;;;;;;;Graphtechnologien bieten insbesondere in den DH neue Perspektiven zur Aufbereitung und Analyse von heterogenen Daten. Viele bestehende XML-Forschungsdaten enthalten bereits implizit semantische Aussagen, die als Graph gelesen, mit weiteren Datenbeständen synthetisiert, und zusammen analysiert werden können. Inzwischen existieren Werkzeuge, die verschiedene Zugriffe auf dieses Potential zugänglich machen – von der deskriptiven Extraktion von RDF aus XML bis zur verlustlosen Migration von Datenbeständen zu text-as-a-graph. Dieser Workshop bietet eine praktische Einführung in vier Werkzeuge, die X-Technologien und Graphtechnologien einander näher bringen.
25.03.2019;11:00;12:30;P6;Workshop_264;Workshop;;;Workshop Fortsetzung: Texterkennung mit Ocropy - Vom Bild zum Text;Robert Nasarek;Martin-Luther-Universität Halle-Wittenberg;Deutschland;Andreas Müller;Martin-Luther-Universität Halle-Wittenberg;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;!!!Workshopteilnehmer*innen müssen ein Notebook mit Administratorenrechten mitbringen!!!Die optische Zeichenerkennung (engl. Optical Character Recognition – OCR) von historischen Texten weißt oftmals niedrige Erkennungsraten auf. Mit einem gekonnten Preprozessing und ocropy (auch ocropus), einem modular aufgebauten Kommandozeilenprogramm auf Basis eines neuronalen Netzes, ist es möglich, deutlich bessere Ergebnisse zu erzielen. Ocropy ist in Python geschrieben und enthält u. a. Module zur Binarisierung (Erzeugung einer Rastergrafik), Segmentierung (Dokumentaufspaltung in Zeilen), der Korrektur fehlerhafter Erkennungstexte, dem Training neuer Zeichen und natürlich zur Erkennung von Dokumenten. Als kommondozeilenbasiertes Programm für die Linux-Console setzt ocropy die Einstiegshürde für viele interessierte Nutzer*innen erhöht an. Im Workshop werden diese Hürden abgebaut, indem er alle Schritte „from zero to recognised textfile“ nachvollziehbar und zum Mitmachen aufzeigt. Den Teilnehmer*innen des Workshops werden alle benötigten Informationen und Handgriffe zur Verfügung gestellt, um selbstständig Frakturschriften (oder andere Schriftarten) durch ocropy erkennen zu lassen.
25.03.2019;11:00;12:30;P7;Workshop_205;Workshop;;;Workshop Fortsetzung: Versionskontrolle mit Git;Stephan Druskat;Humboldt-Universität zu Berlin;Deutschland;Annika Rockenberger;Nasjonalbiblioteket;Norwegen;;;;;;;;;;;;;;;;;;;;;;;;;"In zwei jeweils halbtägigen Workshops erlernen Teilnehmende ohne oder mit wenigen Vorkenntnissen grundlegende Kulturtechniken der digitalen Forschung: Versionskontrolle und kollaboratives verteiltes Arbeiten. Der Teilworkshop ""Versionskontrolle mit Git"" führt auf Grundlage der Software Carpentry (https://software-carpentry.org/) in die Arbeit mit dem Versionskontrollsystem Git (https://git-scm.com/) ein. Dabei unterstützen geleitete Übungen und häufige formative Evaluationen die aktive Aneignung zentraler Konzepte und Prozesse wie Ã„nderungsverfolgung und -historie, Konflikte und deren Auflösung. Der Workshop befähigt Teilnehmende zur Arbeit mit Git auf der Kommandozeile. Der zweite Teilworkshop führt in die Arbeit mit GitHub (https://github.com/) ein und vermittelt die Grundlagen der verteilten Zusammenarbeit an Dokumenten über Methoden wie Issues und Pull Requests. Dabei wird ausschließlich auf die Weboberfläche der Codeplattform zurückgegriffen, so dass keine weiteren Vorkenntnisse notwendig sind. Die Teilworkshops erlauben in Kombination einen fundierten Einstieg in Versionskontrolle und vermitteln die konkrete Arbeit mit den derzeit am weitesten verbreiteten Instrumenten dafür, Git und GitHub, können aber auch einzeln besucht werden."
25.03.2019;11:00;12:30;P10;Workshop_210;Workshop;;;Workshop Fortsetzung: eXist-db und VueJS für dynamische UI-Komponenten;Oliver Pohl;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Teodora Dogaru;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Jonas Müller-Laackman;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;In dem Workshop sollen Teilnehmende lernen, wie man mit der XML-Datenbank eXist-db Daten nach JSON serialisiert und anhand der ausgelieferten JSON-Daten mit Hilfe von vue.js reaktive HTML-Komponenten erstellt. Als praktisches Beispiel für den Workshop werden die Daten und der Quellcode von quoteSalute zur Veranschaulichung benutzt. quoteSalute aggregiert Grußformeln aus verschiedenen digitalen Briefeditionen, bereitet diese auf, sodass NutzerInnen Briefabschlüsse von z.B. Alexander von Humboldt, Friedrich Schleiermacher oder Anna Gräfin von Lehndorff über einen Klick in ihre eigene E-Mail-Korrespondenz einfügen können. Die Daten dafür werden in einer eXist-db-Instanz als TEI-XML vorgehalten und die Benutzeroberfläche über Vue.js realisiert. Nach dem Workshop sollen die Teilnehmenden in der Lage sein einfache, reaktive Vue.js-Applikation zu programmieren und dessen Aufbau erklären zu können, diese Vue.js-Applikation an eine JSON-REST-Schnittstelle anzubinden, und das grundlegende Prinzip im Zusammenspiel von Backend - JSON-API - JavaScript-Frontend auch auf andere Technologien und Frameworks übertragen zu können.
25.03.2019;11:00;12:30;P11|P12;Workshop_111;Workshop;;;Workshop Fortsetzung Barcamp: Digitales Publizieren zwischen Experiment und Etablierung;Timo Steyer;Forschungsverbund Marbach Weimar Wolfenbüttel/ Herzog August Bibliothek Wolfenbüttel;Deutschland;Katrin Neumann;Max Weber Stiftung;Deutschland;Melanie Seltmann;Universität Wien;Österreich;Walter Scholger;Universität Graz;Österreich;;;;;;;;;;;;;;;;;;;Das digitale Publizieren hat sich nicht zuletzt durch die Selbstverständlichkeit, mit der WissenschaftlerInnen digitale Ressourcen nutzen, und durch die Etablierung der Digital Humanities zu einem festen Bestandteil der Wissenschaftskommunikation entwickelt. Doch längst sind noch nicht alle Formen bzw. Formate geklärt und nicht für alle Bereiche existieren Standards. Für nicht wenige WissenschaftlerInnen stellt das digitale Publizieren nach wie vor eine terra incognita dar und die Bedenken, sich trotz der evidenten Vorteile von digitalen Publikationen von den traditionellen Printmedien zu lösen, bestehen nach wie vor. Die AG Digitales Publizieren möchte der interessierten Community die Möglichkeit bieten, gemeinsam aktuelle Fragen und Trends im Bereich des digitalen Publizieren zu diskutieren und sich offen auszutauschen. Um diesen Austausch zu fördern, soll der Workshop im Format eines Barcamps durchgeführt werden.
